Location,Category,Item_ID,Parent_ID,Name,Type,UOM,Unit_Rate_USD,Labor_Rate_USD,Material_Rate_USD,CSI_Title
"Harney County, Oregon",Roofing > Flashing > Vent Pipe Flashing,b28ec0d4-e58d-49ff-868a-b2975cb8d6e3,N/A (Root),"#3 0.25"" X 5"" Rubber Roof Vent Pipe Flashing Deck-Tite",MATERIAL,EA,38.09,42.57,16.63,
"Harney County, Oregon",Concrete and Masonry > Reinforcing > Rebar,db800fea-6e7e-4539-9dd8-c4d60e9b80da,N/A (Root),"#3 Rebar 3/8"" X 20'",MATERIAL,LBS,1.58,27.73,0.99,Reinforcement Bars
"Harney County, Oregon",Concrete and Masonry > Reinforcing > Rebar,cc2aea4a-bcd9-4d15-8d5b-a18c42df49bc,N/A (Root),"#4 Rebar 1/2"" X 10'",MATERIAL,LBS,1.78,27.73,1.19,Reinforcement Bars
"Harney County, Oregon",Concrete and Masonry > Reinforcing > Rebar,ef1cd8e5-e9bc-470a-a972-5c0155324127,N/A (Root),"#4 Rebar 1/2"" X 20'",MATERIAL,LBS,1.43,27.73,0.84,Reinforcement Bars
"Harney County, Oregon",Sitework > Landscaping > Irrigation,b473e5b5-5804-4433-8d70-cfafa06bbaed,N/A (Root),0-10 GPH Adjustable Dripper On,MATERIAL,EA,54.64,31.07,33.93,Planting Irrigation
"Harney County, Oregon",Sitework > Landscaping > Irrigation,a80873fd-271d-46cf-8dcf-44e59ce42101,N/A (Root),0-10 GPH Adjustable Dripper on 360-Degree,MATERIAL,EA,28.0,31.07,17.01,Planting Irrigation
"Harney County, Oregon",Equipment and Tools > Earthwork Equipment > Skid Steers,d2a44598-f0e1-4119-94da-41afe8659164,N/A (Root),0-1000lb Skidsteer,EQUIPMENT,DY,293.33,0.0,293.33,Construction Aids
"Harney County, Oregon",Sitework > Landscaping > Irrigation,eb026cb4-4e12-44c6-b0d3-3aa03625740e,N/A (Root),0-14 360 Adjustable Drip,MATERIAL,EA,12.4,31.07,8.27,Planting Irrigation
"Harney County, Oregon",Plumbing > Specialty Plumbing > Water Filtration and Treatment,ea2e7c64-dedb-4085-af06-6c1521af1480,N/A (Root),0-59 Gpg Electronic Anti and Rust Water Conditioner Treatment System,MATERIAL,EA,626.7,67.14,299.99,Domestic Water Softeners
"Harney County, Oregon",Plumbing > Specialty Plumbing > Water Filtration and Treatment,c6ecdc04-b410-4cf5-9ce1-5098f7bbcd88,N/A (Root),0-59 Gpg Residential/Commercial Electronic Anti-Scale & Rust Water Treatment System Up to,MATERIAL,EA,932.42,67.14,499.99,Domestic Water Softeners
"Harney County, Oregon",Plumbing > Pumps > Utility Pumps,811d0b33-5271-40fa-ae36-9aacad928035,N/A (Root),0.016 HP Submersible 12-Volt Manual Bilge Pump,MATERIAL,EA,253.22,67.14,29.99,Facility Storm Drainage
"Harney County, Oregon",Plumbing > Pumps > Utility Pumps,b1a4dc43-c6d0-4402-bab4-d802b576f0ab,N/A (Root),0.016Hp Submersible 12-Volt Automatic Bilge Pump,MATERIAL,EA,296.09,67.14,72.86,Facility Storm Drainage
"Harney County, Oregon",Plumbing > Pumps > Utility Pumps,e9507957-6dfc-4398-9fd1-c8ba229031f3,N/A (Root),0.018 HP Submersible 12-Volt Automatic Bilge Pump,MATERIAL,EA,299.62,67.14,76.39,Facility Storm Drainage
"Harney County, Oregon",Siding > Exterior Trim > Aluminum Trim,820f197e-0fa2-44f0-a8d2-fa382f713341,N/A (Root),"0.018"" X 24"" X 50' Blend Over Aluminum Trim Coil",MATERIAL,LF,5.69,37.33,3.21,
"Harney County, Oregon",Siding > Exterior Trim > Aluminum Trim,b16dfc4a-48b7-4ecb-b910-6071754d1d1e,N/A (Root),"0.018"" X 24"" X 50' Ivy Over Aluminum Trim Coil",MATERIAL,LF,5.53,37.33,3.05,
"Harney County, Oregon",Siding > Exterior Trim > Aluminum Trim,891b7a12-0a15-4721-a258-f8fe2d85327b,N/A (Root),"0.018"" X 24"" X 50' Sandstone Over Aluminum Trim Coil",MATERIAL,LF,5.53,37.33,3.05,
"Harney County, Oregon",Plumbing > Pumps > Recirculating Pumps,c6421e72-4049-4a57-957d-7a2afbd2981f,N/A (Root),0.02 HP E1-Bcsvnnnw-01 Circulating Pump,MATERIAL,EA,752.08,67.14,256.25,Facility Storm Drainage
"Harney County, Oregon",Plumbing > Pumps > Recirculating Pumps,bf4b9423-9432-493f-80ca-cc9828799991,N/A (Root),0.02 HP E1-Bctvnnnw-01 Circulating Pump,MATERIAL,EA,752.73,67.14,256.9,Facility Storm Drainage
"Harney County, Oregon",Plumbing > Pumps > Utility Pumps,eff0f310-7692-4274-a38a-6e5ed550f4ec,N/A (Root),0.02 HP Submersible 12-Volt Manual Bilge Pump,MATERIAL,EA,254.76,67.14,31.53,Facility Storm Drainage
"Harney County, Oregon",Siding > Exterior Trim > Aluminum Trim,82be17f3-a9c6-46cb-b955-d23377c0eab7,N/A (Root),"0.021"" X 24"" X 50' PVC Coated Blend Aluminum Trim Coil",MATERIAL,LF,5.6,37.33,3.12,
"Harney County, Oregon",Plumbing > Pumps > Utility Pumps,98d5246d-6fae-4af3-a696-b380954e65fb,N/A (Root),0.07 HP Submersible 12-Volt Manual Bilge Pump,MATERIAL,EA,318.78,67.14,95.55,Facility Storm Drainage
"Harney County, Oregon",Interior Finishes > Flooring > Resilient Flooring,ce087ef9-21a4-4dee-91ae-cf15f18e4d00,N/A (Root),"0.125"" X 2.5"" X 48"" Thermoplastic Rubber Wall Cove Base",MATERIAL,LF,3.33,29.85,0.95,Resilient Flooring
"Harney County, Oregon",Interior Finishes > Flooring > Resilient Flooring,e536f853-209a-4032-af64-15a364a22610,N/A (Root),"0.125X4 48"" Thermoplastic Rubber Wall Cove Base",MATERIAL,LF,3.76,29.85,1.14,Resilient Flooring
"Harney County, Oregon",Plumbing > Pipe and Tubing > Polyethylene Pipe (PE),b7b1f8aa-09b1-43f8-8901-7564df32f96c,N/A (Root),"0.17"" X 1/4"" X 25' Polyethylene Tubing",MATERIAL,LF,6.29,67.14,0.31,Facility Water Distribution
"Harney County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,f8029ca1-60db-4141-8df8-1caa65338a49,N/A (Root),"0.25"" X 3.5"" X 4' Alder Board",MATERIAL,LF,18.55,37.33,17.9,Millwork
"Harney County, Oregon",Interior Finishes > Flooring > Hardwood Flooring,b63fcc30-a111-4a10-baf5-05a35d1e05c8,N/A (Root),"0.28"" X 5"" X Random Length Engineered Hardwood Flooring",MATERIAL,SF,7.63,29.85,4.85,Wood Flooring
"Harney County, Oregon",Interior Finishes > Flooring > Engineered Wood Flooring,feec039c-39d2-4992-ad68-d69f67582791,N/A (Root),"0.28"" X 5.12"" X 36.22"" Waterproof Engineered Strand Bamboo Flooring",MATERIAL,SF,13.72,29.85,5.78,Wood Flooring
"Harney County, Oregon",Interior Finishes > Specialties > Privacy Screens,858f9b49-5912-41b5-bbf3-a565e839919b,N/A (Root),"0.3"" X 1.9' X 22.8"" Wall Art & Fence Panel",MATERIAL,SF,12.02,37.33,5.57,Wood Framing
